JP20, SMT-JUMPER_2_NO_NO-SILK, 292.50, 187.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP22, SMT-JUMPER_2_NO_NO-SILK,  7.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP23, SMT-JUMPER_2_NO_NO-SILK, 22.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP24, SMT-JUMPER_2_NO_NO-SILK, 37.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP25, SMT-JUMPER_2_NO_NO-SILK, 52.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP26, SMT-JUMPER_2_NO_NO-SILK, 67.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP27, SMT-JUMPER_2_NO_NO-SILK, 82.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP28, SMT-JUMPER_2_NO_NO-SILK, 97.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP29, SMT-JUMPER_2_NO_NO-SILK, 112.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP30, SMT-JUMPER_2_NO_NO-SILK, 127.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP31, SMT-JUMPER_2_NO_NO-SILK, 142.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP32, SMT-JUMPER_2_NO_NO-SILK, 157.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP33, SMT-JUMPER_2_NO_NO-SILK, 172.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP34, SMT-JUMPER_2_NO_NO-SILK, 187.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP35, SMT-JUMPER_2_NO_NO-SILK, 202.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP36, SMT-JUMPER_2_NO_NO-SILK, 217.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP37, SMT-JUMPER_2_NO_NO-SILK, 232.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP38, SMT-JUMPER_2_NO_NO-SILK, 247.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP39, SMT-JUMPER_2_NO_NO-SILK, 262.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP40, SMT-JUMPER_2_NO_NO-SILK, 277.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP41, SMT-JUMPER_2_NO_NO-SILK, 292.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP42, SMT-JUMPER_2_NO_NO-SILK, 307.50, 172.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP43, SMT-JUMPER_2_NO_NO-SILK,  7.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP44, SMT-JUMPER_2_NO_NO-SILK, 22.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP45, SMT-JUMPER_2_NO_NO-SILK, 37.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP46, SMT-JUMPER_2_NO_NO-SILK, 52.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP47, SMT-JUMPER_2_NO_NO-SILK, 67.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP48, SMT-JUMPER_2_NO_NO-SILK, 82.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP49, SMT-JUMPER_2_NO_NO-SILK, 97.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP50, SMT-JUMPER_2_NO_NO-SILK, 112.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP51, SMT-JUMPER_2_NO_NO-SILK, 127.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP52, SMT-JUMPER_2_NO_NO-SILK, 142.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP53, SMT-JUMPER_2_NO_NO-SILK, 157.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP54, SMT-JUMPER_2_NO_NO-SILK, 172.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP55, SMT-JUMPER_2_NO_NO-SILK, 187.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP56, SMT-JUMPER_2_NO_NO-SILK, 202.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP57, SMT-JUMPER_2_NO_NO-SILK, 217.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP58, SMT-JUMPER_2_NO_NO-SILK, 232.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP59, SMT-JUMPER_2_NO_NO-SILK, 247.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP60, SMT-JUMPER_2_NO_NO-SILK, 262.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP61, SMT-JUMPER_2_NO_NO-SILK, 277.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP62, SMT-JUMPER_2_NO_NO-SILK, 292.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP63, SMT-JUMPER_2_NO_NO-SILK, 307.50, 157.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP64, SMT-JUMPER_2_NO_NO-SILK,  7.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP65, SMT-JUMPER_2_NO_NO-SILK, 22.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP66, SMT-JUMPER_2_NO_NO-SILK, 37.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP67, SMT-JUMPER_2_NO_NO-SILK, 52.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP68, SMT-JUMPER_2_NO_NO-SILK, 67.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP69, SMT-JUMPER_2_NO_NO-SILK, 82.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP70, SMT-JUMPER_2_NO_NO-SILK, 97.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP71, SMT-JUMPER_2_NO_NO-SILK, 112.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP72, SMT-JUMPER_2_NO_NO-SILK, 127.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP73, SMT-JUMPER_2_NO_NO-SILK, 142.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP74, SMT-JUMPER_2_NO_NO-SILK, 157.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP75, SMT-JUMPER_2_NO_NO-SILK, 172.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP76, SMT-JUMPER_2_NO_NO-SILK, 187.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP77, SMT-JUMPER_2_NO_NO-SILK, 202.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP78, SMT-JUMPER_2_NO_NO-SILK, 217.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP79, SMT-JUMPER_2_NO_NO-SILK, 232.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP80, SMT-JUMPER_2_NO_NO-SILK, 247.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP81, SMT-JUMPER_2_NO_NO-SILK, 262.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP82, SMT-JUMPER_2_NO_NO-SILK, 277.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP83, SMT-JUMPER_2_NO_NO-SILK, 292.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP84, SMT-JUMPER_2_NO_NO-SILK, 307.50, 142.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP85, SMT-JUMPER_2_NO_NO-SILK,  7.50, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP86, SMT-JUMPER_2_NO_NO-SILK, 22.50, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP87, SMT-JUMPER_2_NO_NO-SILK, 37.50, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP88, SMT-JUMPER_2_NO_NO-SILK, 52.50, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP89, SMT-JUMPER_2_NO_NO-SILK, 67.50, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP90, SMT-JUMPER_2_NO_NO-SILK, 82.50, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP91, SMT-JUMPER_2_NO_NO-SILK, 97.50, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP92, SMT-JUMPER_2_NO_NO-SILK, 112.50, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP93, SMT-JUMPER_2_NO_NO-SILK, 127.50, 127.50, T,   0, JUMPER-SMT_2_NO_NO-SILK
